date,location_key,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
2020-02-15,US_NC,6.0,-1.0,23.0,4.0,-1.0,-1.0
2020-02-16,US_NC,3.0,-3.0,-5.0,-1.0,-1.0,0.0
2020-02-17,US_NC,5.0,2.0,46.0,6.0,-11.0,2.0
2020-02-18,US_NC,1.0,0.0,14.0,6.0,1.0,0.0
2020-02-19,US_NC,2.0,4.0,-9.0,3.0,2.0,0.0
2020-02-20,US_NC,-10.0,5.0,-31.0,-7.0,-6.0,7.0
2020-02-21,US_NC,-8.0,-14.0,-13.0,-5.0,-19.0,9.0
2020-02-22,US_NC,3.0,-4.0,30.0,4.0,3.0,0.0
2020-02-23,US_NC,3.0,-3.0,24.0,4.0,2.0,0.0
2020-02-24,US_NC,-1.0,-3.0,-3.0,3.0,3.0,0.0
2020-02-25,US_NC,5.0,0.0,17.0,4.0,3.0,0.0
2020-02-26,US_NC,9.0,1.0,11.0,7.0,3.0,-2.0
2020-02-27,US_NC,11.0,3.0,6.0,9.0,2.0,-1.0
2020-02-28,US_NC,12.0,4.0,20.0,13.0,3.0,-2.0
2020-02-29,US_NC,13.0,3.0,26.0,13.0,2.0,-2.0
2020-03-01,US_NC,14.0,5.0,22.0,11.0,2.0,-2.0
2020-03-02,US_NC,10.0,6.0,31.0,7.0,3.0,-2.0
2020-03-03,US_NC,13.0,9.0,24.0,3.0,2.0,0.0
2020-03-04,US_NC,9.0,5.0,14.0,3.0,2.0,-1.0
2020-03-05,US_NC,6.0,4.0,-4.0,2.0,1.0,0.0
2020-03-06,US_NC,6.0,2.0,19.0,6.0,2.0,-1.0
2020-03-07,US_NC,9.0,4.0,49.0,8.0,2.0,-2.0
2020-03-08,US_NC,9.0,4.0,41.0,8.0,0.0,-1.0
2020-03-09,US_NC,8.0,7.0,65.0,4.0,0.0,-1.0
2020-03-10,US_NC,7.0,7.0,37.0,1.0,1.0,0.0
