abbr,feature,lag,best_corr,best_orig_corr,p_value
SA,search_trends_tonsillitis,24,0.8745033540984678,0.8745033540984678,1.3561491300916601e-06
SA,search_trends_common_cold,47,0.5592707935620687,0.5592707935620687,2.0862071822194333e-54
SA,search_trends_hypoxemia,0,0.4735762406288481,0.4735762406288481,0.09760109287394286
SA,search_trends_low_grade_fever,49,0.46288209573943545,0.46288209573943545,1.2860262757789902e-35
SA,search_trends_fever,49,0.4462702424603669,0.4462702424603669,6.1277771127486576e-33
SA,search_trends_otitis_externa,20,0.44585355160087814,0.44585355160087814,0.15732309222758423
SA,search_trends_anosmia,48,0.43748642882562216,0.43748642882562216,1.405676392945323e-31
SA,search_trends_restless_legs_syndrome,0,0.39579290171648324,0.39579290171648324,4.027556711980988e-10
SA,search_trends_hyperthermia,40,0.3756214866970513,0.3756214866970513,1.2204127250251427e-22
SA,search_trends_pneumonia,49,0.35981703540117815,0.35981703540117815,3.5275756548797416e-21
SA,search_trends_crepitus,21,0.3403479150701736,0.3403479150701736,0.19246350528841408
SA,search_trends_swollen_feet,21,0.3374577502499021,0.3374577502499021,0.001311806801259185
SA,search_trends_ageusia,38,0.33701143883145607,0.33701143883145607,1.088689274183365e-17
SA,search_trends_throat_irritation,46,0.3357652504272414,0.3357652504272414,1.9248333379147637e-18
SA,search_trends_desquamation,3,0.335082022075838,0.335082022075838,0.002602732986606105
SA,search_trends_phlegm,46,0.33506767439000196,0.33506767439000196,2.1188650303062172e-18
SA,search_trends_upper_respiratory_tract_infection,49,0.332455869279401,0.332455869279401,3.900402884435009e-18
SA,search_trends_aphonia,43,0.3254967097310882,0.3254967097310882,2.5890474586722848e-17
SA,search_trends_chills,43,0.3211736208270689,0.3211736208270689,9.689736899439025e-17
SA,search_trends_meningitis,33,0.3136799979565282,0.3136799979565282,0.9874028326478785
SA,search_trends_pericarditis,0,0.3105816006216948,0.3105816006216948,0.14233078639931998
SA,search_trends_sore_throat,46,0.3098621139126676,0.3098621139126676,8.324055520684985e-16
SA,search_trends_fatty_liver_disease,49,0.30600176640342847,-0.30600176640342847,1.8055502946079833e-15
SA,search_trends_burn,31,0.3034814252208835,0.3034814252208835,0.5342813455782522
SA,search_trends_acute_bronchitis,49,0.30214365432219514,0.30214365432219514,4.2023301284346015e-15
