,lag,lag,lag,lag,lag,lag,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr,best_orig_corr
,mean,median,std,min,max,count,mean,median,std,min,max
feature,,,,,,,,,,,
mobility_parks,28.258,46.0,23.88,0,49,31,0.067,0.335,0.393,-0.5,0.495
mobility_grocery_and_pharmacy,39.636,49.0,17.391,5,49,11,-0.168,-0.332,0.321,-0.434,0.336
mobility_transit_stations,45.0,49.0,13.266,5,49,11,-0.307,-0.362,0.212,-0.42,0.324
