feature,abbr,lag,best_orig_corr,p_value
cumulative_persons_fully_vaccinated_janssen,OH,49,0.8537438452714192,1.2126313057581536e-77
cumulative_vaccine_doses_administered_janssen,OH,49,0.8531956249407487,1.922087717765887e-77
cumulative_persons_fully_vaccinated_pfizer,OH,49,0.8495265265950023,3.9991584018420115e-76
cumulative_persons_fully_vaccinated_pfizer,OR,36,0.848574873181094,2.3328035590309783e-74
cumulative_vaccine_doses_administered_janssen,KS,41,0.8473446708138941,6.104980911060171e-75
cumulative_vaccine_doses_administered_pfizer,OH,49,0.8465534182443102,4.41150178460855e-75
cumulative_persons_fully_vaccinated_pfizer,KS,41,0.8463320740649443,6.479925557496513e-74
cumulative_vaccine_doses_administered_janssen,OR,36,0.8447851703048167,1.010438478260261e-71
cumulative_persons_fully_vaccinated,OH,49,0.8445347101851179,2.187610497744045e-74
cumulative_persons_vaccinated,VA,19,0.8440544673932059,4.39274896432183e-71
cumulative_vaccine_doses_administered_pfizer,VA,19,0.8438707046604838,1.2145944637117152e-68
cumulative_vaccine_doses_administered,VA,19,0.8437112678900832,6.851876263813388e-69
cumulative_persons_fully_vaccinated_janssen,OR,36,0.843293667737874,2.7088230386099774e-71
cumulative_vaccine_doses_administered_janssen,VA,19,0.843291244751051,3.3880823938365104e-70
cumulative_persons_fully_vaccinated_janssen,VA,19,0.84284987454801,1.5062799021481298e-70
cumulative_persons_fully_vaccinated_janssen,KS,41,0.8425762986455962,2.2852917176743465e-73
cumulative_persons_fully_vaccinated,OR,36,0.8424378800757927,2.4355284050673097e-72
cumulative_vaccine_doses_administered,OH,49,0.8421535605794328,1.4046553703838906e-73
cumulative_vaccine_doses_administered_moderna,VA,19,0.838103655615795,5.495852455195519e-70
cumulative_vaccine_doses_administered_pfizer,KS,40,0.8379894835825048,5.282241612161929e-70
cumulative_persons_fully_vaccinated_moderna,VA,29,0.8356091730723652,3.660755541935308e-69
cumulative_persons_fully_vaccinated,VA,19,0.8328951707780246,1.519994746695288e-66
cumulative_persons_fully_vaccinated_pfizer,VA,19,0.8319636632867534,1.4748044189964976e-65
cumulative_persons_vaccinated,OH,49,0.831961303363477,2.8769158287025368e-70
cumulative_vaccine_doses_administered_pfizer,OR,36,0.8313301456664575,1.6297128217137607e-67
cumulative_persons_fully_vaccinated,NC,21,0.8299962574451357,7.020875097304256e-65
cumulative_persons_fully_vaccinated_pfizer,NC,21,0.8289411934086962,5.603207868749196e-64
cumulative_vaccine_doses_administered,OR,36,0.828567102455035,5.194925313038866e-67
cumulative_persons_fully_vaccinated_moderna,OH,49,0.8283068155622684,3.9123332950832867e-69
cumulative_vaccine_doses_administered,NC,16,0.8272963167826402,1.385936938541756e-61
cumulative_persons_fully_vaccinated,KS,41,0.8264295788076856,6.413662183860492e-68
cumulative_vaccine_doses_administered_pfizer,NC,16,0.8232578198218323,9.461572161913856e-60
cumulative_vaccine_doses_administered,KS,40,0.8224280113920779,6.936668398141761e-66
cumulative_vaccine_doses_administered_janssen,NC,21,0.8223075407512026,4.820090120975646e-63
cumulative_persons_fully_vaccinated_janssen,NC,21,0.8216021161114795,5.955946201488141e-63
cumulative_persons_fully_vaccinated_pfizer,UT,44,0.8179899067603384,7.564706987100591e-65
cumulative_persons_fully_vaccinated_moderna,OR,42,0.8153636986143696,1.684143867865256e-64
cumulative_persons_fully_vaccinated_janssen,IN,49,0.8148180997478134,3.589445655478433e-65
cumulative_vaccine_doses_administered_janssen,IN,49,0.8143941555517418,4.723738168887853e-65
cumulative_persons_vaccinated,NC,16,0.8140279237519681,9.121824269925996e-58
cumulative_persons_fully_vaccinated_moderna,NC,21,0.8120788126458612,2.3294806685851258e-61
cumulative_vaccine_doses_administered_pfizer,IN,49,0.8116469808812982,2.7525849237255314e-64
cumulative_vaccine_doses_administered_moderna,OH,49,0.8111148296284951,3.859790849310145e-64
cumulative_persons_fully_vaccinated_pfizer,IN,49,0.8072133157757463,4.4562724017491154e-63
cumulative_persons_fully_vaccinated_pfizer,OK,30,0.8049433544473256,5.7953519806267794e-58
cumulative_vaccine_doses_administered,IN,49,0.8048819422656576,1.871968682884944e-62
cumulative_persons_fully_vaccinated,UT,45,0.8032282431746224,3.099580277730071e-61
cumulative_persons_vaccinated,OR,36,0.8015255298751363,5.441334351611436e-60
cumulative_persons_fully_vaccinated_pfizer,TN,35,0.7993311745565742,3.75288778233232e-58
cumulative_persons_vaccinated,IN,49,0.7992652340465267,5.495446842854186e-61
