abbr,feature,lag,best_corr,p_value,type,best_orig_corr
DC,DC,0,1.0,0.0,region,1.0
DC,IA,49,0.1014036803407451,0.0110011213707065,region,0.1014036803407451
DC,VT,49,0.0658136077629387,0.0993967415332278,region,0.0658136077629387
