abbr,feature,lag,best_corr,best_orig_corr,p_value
AB,QC,49,0.7824293690818633,0.7824293690818633,5.528671859029482e-114
AB,BC,0,0.7255223124077533,0.7255223124077533,5.517052401443188e-72
AB,SK,6,0.619221834344962,0.619221834344962,1.0655369996670102e-39
AB,ON,49,0.593694339679369,0.593694339679369,2.636807742688561e-53
AB,MB,49,0.5583094588859715,0.5583094588859715,4.563080906597256e-46
AB,NB,6,0.5276088532907206,0.5276088532907206,1.798355475093183e-07
AB,NS,0,0.3471089402544767,0.3471089402544767,4.013103445671199e-08
AB,PE,49,0.25126280136940227,-0.25126280136940227,2.624936445158756e-09
AB,NL,0,0.13313832271448642,0.13313832271448642,0.5326843731582368
