abbr,feature,lag,best_corr,best_orig_corr,p_value
MN,search_trends_ageusia,48,0.8294117365956231,0.8294117365956231,3.397996740251789e-160
MN,search_trends_hypogonadism,48,0.7076034562583857,0.7076034562583857,3.060919694537064e-96
MN,search_trends_dysgeusia,48,0.6860866544127614,0.6860866544127614,1.8951394750584367e-88
MN,search_trends_anosmia,48,0.6499288104148074,0.6499288104148074,1.4593648517560698e-76
MN,search_trends_hypoxemia,49,0.5840326958491333,0.5840326958491333,1.0651750913480725e-58
MN,search_trends_abdominal_obesity,1,0.5013653118434034,0.5013653118434034,6.769788424020646e-30
MN,search_trends_hives,13,0.4091007026623167,0.4091007026623167,3.3734933598116577e-25
MN,search_trends_skin_rash,48,0.40651153628175585,0.40651153628175585,2.252157746169029e-26
MN,search_trends_wart,1,0.38214346014138684,0.38214346014138684,1.032960535069497e-15
MN,search_trends_avoidant_personality_disorder,1,0.37885178398143293,0.37885178398143293,3.152999667775679e-12
MN,search_trends_telangiectasia,28,0.37151339096701874,0.37151339096701874,2.3000738536230498e-20
MN,search_trends_bloating,1,0.370047727321946,0.370047727321946,3.171757571979335e-13
MN,search_trends_water_retention,1,0.36844456662050096,0.36844456662050096,3.292261006944554e-18
MN,search_trends_melasma,3,0.366869435504673,0.366869435504673,1.3519728622474089e-14
MN,search_trends_skin_tag,1,0.35283641294333945,0.35283641294333945,1.1531817410736756e-11
MN,search_trends_impulsivity,6,0.3503374458040993,0.3503374458040993,1.3910215805061948e-11
MN,search_trends_diarrhea,49,0.3377494230309291,-0.3377494230309291,3.1986603740414123e-18
MN,search_trends_erythema_chronicum_migrans,49,0.33351768531606635,-0.33351768531606635,8.819811064707415e-18
MN,search_trends_edema,1,0.33133284753857273,0.33133284753857273,1.5931543916171252e-16
MN,search_trends_burning_mouth_syndrome,38,0.3159140490979846,0.3159140490979846,1.5633583816433983e-12
MN,search_trends_chorea,1,0.30792732172011905,0.30792732172011905,0.7941727311312081
MN,search_trends_hepatitis,31,0.3046041700854697,0.3046041700854697,7.22947439716798e-15
MN,search_trends_palpitations,48,0.3018021458474047,0.3018021458474047,1.2843468629745893e-14
