abbr,feature,lag,best_corr,best_orig_corr,p_value
IA,search_trends_ageusia,49,0.6927686575835297,0.6927686575835297,6.164587209673612e-91
IA,search_trends_anosmia,0,0.6305009377482795,0.6305009377482795,1.0369285922150843e-70
IA,search_trends_hypoxemia,47,0.603629769576758,0.603629769576758,2.8690339421675935e-63
IA,search_trends_abdominal_obesity,0,0.5997806240931329,0.5997806240931329,5.825008092004001e-44
IA,search_trends_nasal_congestion,0,0.48290112839824356,0.48290112839824356,1.3700613121337324e-19
IA,search_trends_dysgeusia,49,0.4443606072102988,0.4443606072102988,8.946819401068535e-32
IA,search_trends_avoidant_personality_disorder,4,0.37391214777011716,0.37391214777011716,8.849693348450228e-12
IA,search_trends_rosacea,48,0.3504322079214811,0.3504322079214811,2.2065203542768354e-19
IA,search_trends_bloating,1,0.3485697700884518,0.3485697700884518,3.1057442683390345e-12
IA,search_trends_compulsive_hoarding,14,0.3284625432785965,0.3284625432785965,2.6931075293655856e-15
IA,search_trends_laryngitis,0,0.32793661039744526,0.32793661039744526,0.12388160089298896
IA,search_trends_impulsivity,5,0.32733783567711144,0.32733783567711144,1.9508328699932006e-10
IA,search_trends_post_nasal_drip,0,0.3249383548059669,0.3249383548059669,2.6931422741978538e-08
IA,search_trends_skin_tag,0,0.32010507693030604,0.32010507693030604,2.6616500238455797e-07
IA,search_trends_poor_posture,0,0.319711356487692,0.319711356487692,2.500975310750374e-08
IA,search_trends_water_retention,0,0.3095975609291936,0.3095975609291936,1.193300284897347e-09
IA,search_trends_food_craving,1,0.30686068203206607,0.30686068203206607,1.3579944245769121e-12
IA,search_trends_melasma,2,0.3064039331817845,0.3064039331817845,1.7496138329798973e-10
IA,search_trends_dermatitis,15,0.30516983053859226,0.30516983053859226,1.3685436910489926e-11
IA,search_trends_rheum,0,0.3035612099260956,0.3035612099260956,0.00919193640270185
IA,search_trends_desquamation,0,0.30123874626303115,0.30123874626303115,7.455635575675692e-11
IA,search_trends_xeroderma,26,0.30005645225943767,0.30005645225943767,3.4134729636007347e-12
